時刻,x軸の加速度,y軸の加速度,z軸の加速度,x軸の速度,y軸の加速度,z軸の加速度,PCから受信した値
2023-02-17 05:20:57.728677,-8.16893945,-98.89221992999998,-23.44966148,-0.0029564976895093916,-0.0357910132059431,-0.008486887485179902,b''
2023-02-17 05:20:57.932477,-8.072834279999999,-98.89221992999998,-23.44966148,-0.0029390377868556694,-0.036003212888982006,-0.008537204999914394,b''
2023-02-17 05:20:58.136095,-8.072834279999999,-98.89221992999998,-23.545766649999997,-0.002948661355247406,-0.036121101601786165,-0.008600262286137195,b''
2023-02-17 05:20:58.339831,-8.072834279999999,-98.79611475999998,-23.44966148,-0.00299870391088497,-0.0366984240522612,-0.00871052088399793,b''
2023-02-17 05:20:58.543579,-8.072834279999999,-98.79611475999998,-23.545766649999997,-0.0032277448386093255,-0.039501448739173384,-0.009414255779280012,b''
2023-02-17 05:20:58.747084,-8.16893945,-98.89221992999998,-23.353556309999995,-0.002962340570316968,-0.03586174643361062,-0.008468808924558147,b''
2023-02-17 05:20:58.950555,-8.16893945,-98.79611475999998,-23.64187182,-0.00302076937841278,-0.03653354024714872,-0.008742461965756121,b''
2023-02-17 05:20:59.154439,-8.16893945,-98.89221992999998,-23.353556309999995,-0.0030071359898560246,-0.036404034512486305,-0.008596871123948802,b''
2023-02-17 05:20:59.357949,-8.16893945,-98.89221992999998,-23.545766649999997,-0.0030227170053489516,-0.0365926564529957,-0.008712537250715968,b''
2023-02-17 05:20:59.561765,-8.072834279999999,-98.70000959,-23.545766649999997,-0.0029544354962833808,-0.036121491127175887,-0.00861710353082401,b''
2023-02-17 05:20:59.765430,-8.16893945,-98.79611475999998,-23.44966148,-0.0029740263319375515,-0.03596822434388969,-0.008537204999917947,b''
2023-02-17 05:20:59.969153,-8.16893945,-98.89221992999998,-23.545766649999997,-0.0030051883629234055,-0.03638045676993329,-0.00866201351665552,b''
2023-02-17 05:21:00.173039,-8.16893945,-98.79611475999998,-23.44966148,-0.003007135989857801,-0.03636865644202203,-0.008632249194413077,b''
2023-02-17 05:21:00.376768,-8.16893945,-98.79611475999998,-23.545766649999997,-0.003020769378409227,-0.03653354024709188,-0.008706923502479924,b''
2023-02-17 05:21:00.580613,-8.072834279999999,-98.89221992999998,-23.545766649999997,-0.003158455146188288,-0.03869107554083939,-0.009212160843048878,b''
2023-02-17 05:21:00.784202,-8.072834279999999,-98.89221992999998,-23.44966148,-0.002910167081680015,-0.035649546750619265,-0.00845334247534879,b''
2023-02-17 05:21:00.987706,-8.072834279999999,-98.89221992999998,-23.44966148,-0.0029775320604237265,-0.036474767740173775,-0.008649021699326909,b''
2023-02-17 05:21:01.191502,-8.16893945,-98.79611475999998,-23.545766649999997,-0.00306556479795006,-0.0370753013210674,-0.008836039711738408,b''
2023-02-17 05:21:01.395106,-8.072834279999999,-98.79611475999998,-23.44966148,-0.002952510782606055,-0.0361331081490448,-0.00857634084471215,b''
2023-02-17 05:21:01.598678,-8.16893945,-98.98832509999998,-23.44966148,-0.0029935026012992694,-0.03627420799227821,-0.008593113349618875,b''
2023-02-17 05:21:01.802469,-8.16893945,-98.79611475999998,-23.545766649999997,-0.0030246646322851234,-0.03658064990577259,-0.008718150998930696,b''
2023-02-17 05:21:02.006075,-8.16893945,-98.89221992999998,-23.44966148,-0.003030507513095415,-0.03668696742323618,-0.008699339214061297,b''
2023-02-17 05:21:02.209857,-8.16893945,-98.79611475999998,-23.64187182,-0.003051931409395081,-0.03691041751596913,-0.00883264854954291,b''
2023-02-17 05:21:02.413560,-8.072834279999999,-98.89221992999998,-23.545766649999997,-0.003229669552290204,-0.039563452015499934,-0.009419869527505398,b''
2023-02-17 05:21:02.617307,-8.16893945,-98.79611475999998,-23.44966148,-0.003026612259219519,-0.03660420473499926,-0.008688157544114006,b''
2023-02-17 05:21:02.821017,-8.16893945,-98.89221992999998,-23.44966148,-0.003011031243723039,-0.03645118999764918,-0.008643430864353263,b''
2023-02-17 05:21:03.024817,-8.26504462,-98.79611475999998,-23.545766649999997,-0.003036602439742353,-0.03629799195414307,-0.008650786020197643,b''
2023-02-17 05:21:03.228675,-8.16893945,-98.70000959,-23.545766649999997,-0.0030499837824606857,-0.036850980524491206,-0.00879112972592111,b''
2023-02-17 05:21:03.432421,-8.072834279999999,-98.79611475999998,-23.545766649999997,-0.003010252192950702,-0.03683975302806175,-0.00877990222943481,b''
2023-02-17 05:21:03.636180,-8.16893945,-98.79611475999998,-23.545766649999997,-0.002991554974364874,-0.03618021780766867,-0.00862271727905295,b''
2023-02-17 05:21:03.839872,-8.16893945,-98.79611475999998,-23.545766649999997,-0.003077250559563538,-0.037216630296939,-0.00886972220109783,b''
2023-02-17 05:21:04.043753,-8.072834279999999,-98.89221992999998,-23.545766649999997,-0.0032084977018271843,-0.03930409684733149,-0.009358118296972862,b''
2023-02-17 05:21:04.247631,-8.16893945,-98.89221992999998,-23.44966148,-0.00306556479795006,-0.03711136678930416,-0.008799974243544284,b''
2023-02-17 05:21:04.451374,-8.16893945,-98.79611475999998,-23.545766649999997,-0.0031415222484696415,-0.037993939663806486,-0.009054975892667017,b''
2023-02-17 05:21:04.655081,-8.16893945,-98.89221992999998,-23.44966148,-0.0031045173366734957,-0.03758292164047816,-0.00891179094293193,b''
2023-02-17 05:21:04.858552,-8.072834279999999,-98.89221992999998,-23.545766649999997,-0.0028889952312169953,-0.035390191582450825,-0.008426236091054307,b''
